Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
France,2012,Diabetes,Bacterial,19.45,4.14,9.59,19-35,Male,96744,52.1,2.48,8.85,Therapy,43807,No,51.08,4280,2.0,19854,0.86,68.43
Brazil,2003,Diabetes,Bacterial,16.63,0.89,5.41,36-60,Male,725115,63.61,1.67,3.36,Vaccination,19941,No,68.2,3956,1.85,33890,0.56,39.02
Saudi Arabia,2011,Diabetes,Viral,13.11,11.03,3.07,19-35,Male,725884,82.61,1.96,2.49,Therapy,37018,No,64.17,2722,9.25,53206,0.75,78.38
Nigeria,2002,Diabetes,Viral,6.24,7.2,3.77,61+,Male,368655,70.82,2.38,8.95,Therapy,28937,No,83.44,72,1.55,4699,0.48,54.78
Russia,2014,Diabetes,Viral,14.08,7.55,1.25,0-18,Female,925106,66.25,1.56,10.0,Medication,46099,Yes,89.71,1316,9.69,98193,0.42,35.03
Brazil,2013,Diabetes,Infectious,10.59,11.58,0.7,61+,Female,85401,79.04,2.48,2.03,Vaccination,17962,Yes,71.77,3715,9.1,75691,0.66,81.39
Indonesia,2009,Diabetes,Metabolic,9.69,2.06,8.39,61+,Female,52110,85.86,4.63,1.84,Vaccination,21623,No,62.56,1893,6.24,62897,0.76,73.72
South Africa,2014,Diabetes,Metabolic,7.81,1.73,6.37,0-18,Other,183214,63.05,0.67,8.12,Medication,11335,No,60.13,2168,7.79,22704,0.41,72.06
Brazil,2012,Diabetes,Neurological,7.99,1.47,2.56,19-35,Male,718125,92.62,1.52,4.29,Therapy,28827,No,71.31,855,4.59,42561,0.54,29.15
Indonesia,2004,Diabetes,Parasitic,0.22,12.91,8.99,36-60,Female,478244,73.26,3.55,5.05,Therapy,28966,No,98.71,1014,5.99,8336,0.47,30.12
Australia,2007,Diabetes,Viral,18.12,14.87,6.94,61+,Male,206224,90.7,4.77,3.94,Medication,49958,No,59.3,3190,9.08,39737,0.52,54.75
Turkey,2018,Diabetes,Viral,18.24,8.09,1.8,61+,Female,408285,80.58,3.77,3.68,Vaccination,23338,No,52.11,664,6.28,62474,0.71,33.9
Indonesia,2011,Diabetes,Viral,14.12,0.6,0.35,36-60,Female,197846,52.7,4.12,9.26,Therapy,31075,No,92.35,4582,6.09,98089,0.8,34.19
Nigeria,2024,Diabetes,Bacterial,16.13,12.82,5.0,61+,Male,842486,51.52,1.65,4.99,Medication,12674,No,59.1,4610,1.7,37570,0.48,61.67
Russia,2008,Diabetes,Respiratory,3.63,10.1,1.94,0-18,Male,333792,80.07,3.93,4.17,Medication,10305,No,59.27,1510,6.31,47842,0.52,43.76
South Korea,2022,Diabetes,Autoimmune,11.55,9.25,4.31,0-18,Male,407221,97.45,3.35,5.15,Surgery,12089,No,88.54,354,3.56,28911,0.85,65.59
UK,2013,Diabetes,Respiratory,19.69,5.1,3.18,61+,Other,256650,60.23,1.28,6.4,Therapy,45491,Yes,70.02,4475,3.32,68721,0.62,41.16
China,2019,Diabetes,Viral,14.36,1.76,3.81,36-60,Other,19598,75.71,1.33,2.98,Surgery,15956,Yes,58.24,2751,1.77,1872,0.57,64.71
Saudi Arabia,2010,Diabetes,Genetic,19.47,14.21,5.53,36-60,Male,901255,70.93,4.8,8.91,Therapy,38904,No,82.36,3554,9.26,82821,0.7,65.47
South Africa,2002,Diabetes,Infectious,6.07,3.29,8.67,0-18,Female,436000,77.85,2.84,9.18,Surgery,17520,Yes,52.62,4077,3.76,84806,0.55,80.13
South Africa,2001,Diabetes,Chronic,14.3,13.71,2.03,19-35,Male,699578,69.12,1.8,1.77,Therapy,1601,No,78.96,2571,5.27,90761,0.78,59.06
Japan,2013,Diabetes,Autoimmune,2.33,7.71,5.91,19-35,Other,502051,67.23,1.24,1.76,Therapy,25684,No,97.47,2090,5.75,31715,0.62,22.82
Germany,2003,Diabetes,Parasitic,16.37,9.52,5.02,19-35,Male,434862,72.61,2.05,6.07,Medication,14388,Yes,63.81,4532,3.28,60269,0.54,23.84
Canada,2007,Diabetes,Neurological,19.43,12.51,6.25,36-60,Male,170799,85.9,4.92,3.34,Surgery,23036,Yes,76.33,113,2.15,45132,0.79,84.37
Argentina,2013,Diabetes,Parasitic,18.99,11.28,1.3,19-35,Female,211440,52.36,4.74,3.08,Surgery,14725,No,81.76,2101,5.57,77834,0.52,31.62
Turkey,2013,Diabetes,Autoimmune,1.09,10.39,8.03,19-35,Female,805859,52.41,1.11,8.81,Vaccination,35711,No,89.4,493,3.1,55824,0.42,31.91
Saudi Arabia,2013,Diabetes,Autoimmune,3.76,9.94,7.64,36-60,Other,66516,69.04,0.86,6.82,Vaccination,32086,No,88.82,1537,8.59,34810,0.7,23.06
Saudi Arabia,2012,Diabetes,Chronic,10.31,10.69,8.31,0-18,Female,606557,83.79,4.59,2.46,Surgery,44372,No,79.3,742,1.45,25781,0.62,44.29
Argentina,2017,Diabetes,Genetic,3.93,11.53,2.11,36-60,Other,647905,92.16,1.36,3.15,Medication,10259,No,69.0,911,0.31,4247,0.6,49.9
Italy,2020,Diabetes,Genetic,19.03,8.17,7.32,36-60,Male,871072,50.9,4.31,9.99,Vaccination,19154,Yes,83.76,1018,1.24,5687,0.76,57.99
France,2005,Diabetes,Bacterial,16.73,4.48,3.75,36-60,Male,49786,75.51,4.37,4.9,Surgery,33805,No,66.01,2751,6.48,83953,0.84,25.61
India,2016,Diabetes,Metabolic,14.65,5.55,8.67,36-60,Female,400085,63.35,3.85,3.17,Vaccination,9490,Yes,58.95,3366,5.62,97601,0.79,44.66
Russia,2009,Diabetes,Infectious,19.42,5.59,4.19,36-60,Other,525009,74.1,3.88,0.5,Vaccination,24708,No,57.99,2486,0.86,46732,0.79,52.71
Saudi Arabia,2012,Diabetes,Autoimmune,5.46,14.25,9.91,61+,Male,572474,86.12,3.5,4.7,Surgery,15006,Yes,87.76,2670,8.61,36013,0.5,30.72
Italy,2007,Diabetes,Chronic,12.37,13.87,0.94,36-60,Male,769078,78.12,4.86,7.43,Vaccination,47545,No,59.57,3268,6.89,99932,0.46,24.09
Mexico,2020,Diabetes,Bacterial,20.0,8.4,8.41,0-18,Female,633491,52.97,3.21,3.56,Therapy,2304,No,65.16,2471,6.0,50634,0.8,60.96
Germany,2024,Diabetes,Metabolic,9.58,8.0,4.89,61+,Female,331329,96.96,3.9,1.87,Therapy,44694,No,98.71,1879,8.24,24340,0.57,39.58
Brazil,2021,Diabetes,Parasitic,11.67,1.4,7.15,19-35,Other,791176,79.4,1.36,5.85,Vaccination,31269,Yes,75.46,1523,3.51,39949,0.85,40.13
Nigeria,2019,Diabetes,Autoimmune,17.81,4.7,9.34,0-18,Male,663543,91.31,2.69,1.31,Therapy,22646,No,85.7,500,0.78,78101,0.65,32.21
Indonesia,2008,Diabetes,Neurological,16.03,2.98,0.79,61+,Female,294634,83.89,2.39,5.44,Surgery,26631,Yes,84.96,520,9.83,25052,0.75,74.45
Nigeria,2021,Diabetes,Bacterial,10.51,13.5,7.59,61+,Other,739521,98.01,4.52,8.72,Surgery,30274,No,54.74,1446,3.36,82198,0.45,80.42
Nigeria,2004,Diabetes,Metabolic,14.06,4.65,2.82,19-35,Other,208331,60.58,4.14,7.31,Therapy,12036,Yes,64.46,2878,0.67,20415,0.54,88.07
Nigeria,2016,Diabetes,Chronic,15.93,11.79,1.98,19-35,Female,307564,95.91,0.99,4.97,Therapy,49856,No,71.79,862,0.23,86578,0.43,58.7
Japan,2023,Diabetes,Genetic,1.41,3.63,7.97,0-18,Other,895476,73.81,1.81,7.67,Vaccination,29171,Yes,88.71,1179,4.76,74488,0.83,23.51
South Africa,2002,Diabetes,Bacterial,17.44,2.28,4.34,0-18,Male,522420,66.66,4.37,3.77,Therapy,21998,No,88.49,1558,5.03,9957,0.77,52.58
France,2013,Diabetes,Metabolic,17.93,2.91,9.95,36-60,Other,934538,65.71,2.01,8.5,Medication,19224,No,58.37,1693,1.4,17359,0.59,47.94
China,2015,Diabetes,Metabolic,9.77,13.38,7.3,0-18,Other,293634,50.16,4.49,1.74,Therapy,8982,No,80.56,460,6.51,17025,0.69,63.88
China,2024,Diabetes,Respiratory,6.8,12.66,6.49,19-35,Other,944895,73.46,4.64,7.84,Medication,5561,No,50.06,640,2.83,99134,0.56,21.1
South Korea,2001,Diabetes,Respiratory,16.45,10.16,4.95,61+,Other,70532,51.69,4.53,1.96,Medication,23280,No,86.86,2760,1.3,96274,0.65,83.47
Japan,2008,Diabetes,Bacterial,11.38,7.8,9.38,61+,Male,157691,65.88,1.87,2.18,Therapy,20025,No,76.55,3032,0.01,9564,0.49,74.03
Russia,2017,Diabetes,Metabolic,17.82,8.2,1.28,61+,Female,451620,60.01,1.68,5.04,Vaccination,8137,No,51.34,4246,3.87,58167,0.79,61.12
Nigeria,2016,Diabetes,Cardiovascular,4.88,5.29,3.16,36-60,Other,29349,91.6,4.5,6.87,Therapy,35616,Yes,77.88,1670,8.92,25600,0.73,61.11
USA,2011,Diabetes,Bacterial,1.46,11.63,1.77,61+,Other,131430,79.33,1.75,4.63,Surgery,32407,Yes,56.86,3635,7.34,21759,0.75,64.09
India,2010,Diabetes,Metabolic,11.63,4.61,6.0,61+,Other,252579,78.64,4.08,3.61,Vaccination,25843,Yes,59.4,4653,0.74,67483,0.73,27.47
Turkey,2013,Diabetes,Bacterial,4.37,3.96,4.8,61+,Male,240444,68.13,4.66,5.98,Vaccination,14840,No,87.72,3234,9.56,26578,0.8,43.83
Russia,2005,Diabetes,Parasitic,11.93,2.18,5.29,19-35,Other,540989,51.95,0.66,5.87,Therapy,45735,Yes,94.81,4318,7.58,90943,0.53,82.9
Indonesia,2022,Diabetes,Cardiovascular,16.52,4.63,4.54,19-35,Male,358095,75.6,2.65,2.43,Vaccination,37444,No,94.21,1632,5.51,96893,0.9,30.01
Canada,2019,Diabetes,Neurological,11.54,11.42,0.4,19-35,Male,929075,80.78,2.86,2.3,Therapy,34314,No,71.5,1517,1.66,47104,0.48,44.64
Japan,2011,Diabetes,Autoimmune,5.25,12.65,4.39,36-60,Female,804142,77.23,4.78,1.2,Vaccination,48346,Yes,67.33,1188,8.12,67576,0.42,56.53
Brazil,2010,Diabetes,Bacterial,1.55,4.4,9.73,61+,Other,890815,50.33,2.07,8.39,Medication,33649,Yes,95.42,1342,0.82,24901,0.87,30.99
South Africa,2011,Diabetes,Genetic,14.93,9.41,3.27,36-60,Female,670771,64.33,2.72,6.97,Surgery,11425,Yes,87.84,2753,1.11,92677,0.57,50.39
Mexico,2009,Diabetes,Neurological,12.94,7.77,9.43,0-18,Female,483889,50.98,0.91,7.22,Surgery,37434,Yes,59.79,2054,8.7,1631,0.86,32.31
France,2024,Diabetes,Chronic,3.46,0.72,8.99,61+,Other,154641,88.17,1.43,4.48,Medication,39585,No,83.93,940,5.12,6381,0.53,38.76
Turkey,2004,Diabetes,Bacterial,0.87,3.01,0.11,61+,Male,925882,59.12,3.17,6.69,Medication,28837,Yes,55.91,2354,3.96,28661,0.83,79.82
Australia,2017,Diabetes,Cardiovascular,5.57,8.37,9.11,19-35,Female,260041,75.53,0.87,5.69,Therapy,28196,No,88.39,1866,1.56,27379,0.56,84.19
China,2024,Diabetes,Bacterial,1.98,10.31,5.41,0-18,Male,697314,63.9,0.77,2.73,Vaccination,7238,Yes,90.1,3663,6.91,21967,0.88,76.4
China,2024,Diabetes,Bacterial,2.41,10.35,2.82,61+,Female,530589,78.83,3.88,1.01,Therapy,4251,Yes,59.06,4926,1.16,65935,0.46,73.47
South Korea,2006,Diabetes,Cardiovascular,9.1,9.75,6.01,61+,Other,685342,58.8,4.31,1.38,Therapy,21108,No,65.3,1030,2.97,50118,0.45,55.35
Australia,2011,Diabetes,Autoimmune,3.46,6.67,9.23,61+,Other,803132,92.12,3.56,6.13,Medication,38321,No,83.7,1729,2.15,56736,0.67,68.45
France,2015,Diabetes,Parasitic,3.54,2.38,1.35,36-60,Other,554355,80.14,4.62,4.85,Therapy,27300,Yes,86.56,1679,0.14,96654,0.62,52.68
Germany,2012,Diabetes,Autoimmune,16.96,0.34,3.25,61+,Male,604755,94.99,1.19,8.63,Surgery,23386,No,83.74,3033,9.25,37456,0.89,77.12
Nigeria,2002,Diabetes,Metabolic,8.9,1.32,2.83,61+,Other,327676,61.14,3.54,9.16,Medication,39634,No,66.07,4767,5.24,81071,0.41,87.43
Brazil,2019,Diabetes,Autoimmune,1.0,1.04,1.46,19-35,Female,188608,78.05,4.94,7.99,Vaccination,15189,Yes,79.87,2249,2.71,6277,0.56,89.21
Mexico,2009,Diabetes,Respiratory,19.1,4.02,3.97,0-18,Other,436653,98.4,2.41,5.18,Surgery,45868,No,65.06,802,5.6,5368,0.8,54.27
Brazil,2017,Diabetes,Bacterial,13.2,11.47,4.6,19-35,Male,203787,89.59,4.12,5.63,Vaccination,26392,Yes,71.94,1677,7.86,74550,0.48,56.18
Mexico,2010,Diabetes,Genetic,4.52,7.92,2.03,0-18,Female,906076,92.27,2.18,9.56,Medication,33795,No,73.85,3061,3.33,99201,0.78,56.94
Indonesia,2016,Diabetes,Viral,17.39,14.6,2.52,19-35,Female,393082,77.35,0.86,1.44,Medication,17512,Yes,61.88,1605,5.03,18962,0.67,59.1
Mexico,2024,Diabetes,Metabolic,11.97,6.22,9.82,61+,Other,882357,55.08,2.51,2.77,Therapy,28939,No,69.13,3720,7.18,78417,0.72,71.24
Indonesia,2020,Diabetes,Cardiovascular,4.08,1.55,2.37,0-18,Female,245847,58.92,2.28,2.08,Medication,5938,Yes,62.41,3754,3.38,39258,0.87,69.4
Nigeria,2023,Diabetes,Metabolic,10.02,14.57,9.41,0-18,Male,101035,87.98,1.8,7.9,Therapy,10226,No,52.78,2663,8.79,63328,0.8,33.44
India,2018,Diabetes,Bacterial,4.13,7.61,4.05,19-35,Male,777659,81.07,2.57,1.02,Surgery,22613,No,63.61,3668,4.54,56351,0.9,44.78
Turkey,2016,Diabetes,Bacterial,18.61,0.48,4.82,61+,Male,669142,89.13,4.36,9.35,Vaccination,7703,No,87.07,751,3.94,29141,0.64,58.92
USA,2013,Diabetes,Bacterial,9.71,13.31,5.07,0-18,Female,748596,60.78,1.94,3.68,Vaccination,25773,Yes,63.85,3116,1.93,32813,0.57,20.51
Russia,2017,Diabetes,Genetic,16.35,13.18,9.68,61+,Other,801060,70.8,0.85,0.95,Medication,35813,Yes,62.26,2719,8.83,84832,0.83,54.31
India,2001,Diabetes,Autoimmune,11.14,3.96,4.85,61+,Other,60169,84.79,4.18,0.94,Surgery,44387,No,76.12,4411,7.11,72339,0.71,85.21
India,2012,Diabetes,Respiratory,7.69,12.1,6.81,19-35,Female,554485,51.52,1.48,3.18,Medication,48653,No,73.37,2179,8.66,41393,0.78,46.2
Turkey,2005,Diabetes,Viral,7.0,14.54,8.77,61+,Male,490796,75.07,1.92,4.03,Medication,45570,Yes,86.94,2734,0.79,35497,0.56,23.03
France,2018,Diabetes,Bacterial,6.22,0.4,2.62,61+,Male,758939,96.37,3.82,9.01,Vaccination,37483,No,96.86,3733,1.19,77359,0.87,76.36
Australia,2013,Diabetes,Autoimmune,11.33,6.43,4.74,61+,Male,104943,75.3,4.69,0.99,Medication,48292,Yes,96.4,3408,6.08,90222,0.83,27.86
Japan,2006,Diabetes,Genetic,19.39,14.09,3.0,19-35,Other,26604,57.99,3.03,6.29,Medication,34289,Yes,82.54,673,2.6,11045,0.59,55.47
France,2017,Diabetes,Chronic,7.25,5.41,9.14,0-18,Female,462531,89.47,2.16,0.55,Therapy,47973,No,95.35,1322,5.75,61590,0.44,39.92
South Africa,2013,Diabetes,Parasitic,1.6,6.84,8.52,36-60,Male,663804,55.3,2.92,3.78,Therapy,11557,Yes,67.81,3679,4.91,16485,0.78,40.57
Germany,2017,Diabetes,Metabolic,9.81,2.46,4.64,0-18,Other,426823,85.3,3.0,3.98,Vaccination,31178,Yes,86.37,3373,3.62,5579,0.86,24.5
Germany,2015,Diabetes,Chronic,4.72,14.41,9.85,36-60,Male,154433,71.05,0.73,8.71,Vaccination,12623,No,89.98,4940,4.23,56064,0.84,53.26
Indonesia,2015,Diabetes,Genetic,10.04,8.79,7.97,0-18,Other,900566,74.52,3.25,5.53,Medication,6877,No,65.82,4751,3.99,14491,0.61,40.7
South Africa,2000,Diabetes,Parasitic,11.74,4.78,0.27,61+,Female,191665,87.7,4.91,1.85,Vaccination,36510,Yes,83.83,2589,5.01,8325,0.72,58.89
France,2022,Diabetes,Neurological,15.08,13.54,5.63,0-18,Male,135621,69.08,3.96,9.22,Therapy,35820,Yes,80.99,1897,8.32,57058,0.73,75.49
South Africa,2019,Diabetes,Bacterial,7.67,12.19,7.07,36-60,Male,596104,80.43,4.68,7.9,Vaccination,27554,No,83.62,1105,9.04,16737,0.42,51.61
India,2005,Diabetes,Chronic,7.74,12.51,9.38,19-35,Other,871405,60.74,3.14,2.24,Medication,5472,Yes,50.54,541,3.36,89863,0.8,26.72
France,2022,Diabetes,Viral,14.33,9.9,6.53,61+,Male,483025,82.48,1.89,4.78,Medication,35293,No,77.12,2072,8.12,81826,0.57,66.16
Brazil,2022,Diabetes,Metabolic,17.27,9.17,9.26,36-60,Female,422861,99.11,3.01,1.22,Therapy,28352,No,50.04,3625,4.78,20517,0.47,61.38
India,2011,Diabetes,Viral,0.19,0.53,2.04,19-35,Female,712545,92.0,0.78,4.57,Surgery,21505,No,74.46,1003,6.32,77521,0.55,31.15
Australia,2008,Diabetes,Infectious,1.05,1.46,9.77,19-35,Male,561569,86.68,4.03,4.55,Vaccination,8493,No,56.12,3245,8.44,20985,0.82,83.85
Japan,2019,Diabetes,Neurological,19.85,9.35,5.95,0-18,Other,157845,59.58,0.99,3.07,Therapy,43297,Yes,68.16,3502,0.06,32006,0.74,66.85
Saudi Arabia,2022,Diabetes,Autoimmune,18.45,8.27,2.46,36-60,Male,273748,62.5,4.22,5.34,Medication,3580,No,70.25,2985,1.74,78790,0.57,31.11
Saudi Arabia,2017,Diabetes,Neurological,14.99,9.94,1.0,36-60,Other,296046,64.12,3.5,9.61,Therapy,24350,No,80.66,137,7.92,31983,0.44,85.79
Japan,2012,Diabetes,Infectious,4.15,2.99,1.93,0-18,Other,500339,53.57,2.48,6.74,Medication,7989,Yes,89.61,1986,5.01,39876,0.82,24.73
Italy,2009,Diabetes,Infectious,4.59,2.49,7.14,19-35,Male,896289,67.58,3.95,7.93,Surgery,24398,Yes,78.28,1676,2.85,51487,0.57,52.48
Mexico,2001,Diabetes,Chronic,18.78,12.94,8.65,61+,Male,832337,81.28,1.85,7.0,Surgery,5787,Yes,63.08,3697,5.03,29488,0.49,46.13
India,2002,Diabetes,Respiratory,6.23,2.43,0.91,61+,Female,252642,86.44,4.93,3.29,Medication,5850,No,65.01,4210,6.39,42263,0.58,58.61
South Korea,2004,Diabetes,Chronic,6.24,2.84,6.45,0-18,Other,693388,50.25,4.79,7.81,Medication,18787,Yes,77.53,1883,4.18,19424,0.72,73.87
South Africa,2006,Diabetes,Neurological,12.76,12.63,3.91,61+,Other,55464,97.99,1.68,4.74,Medication,17700,Yes,51.73,3444,9.09,22667,0.78,59.18
South Africa,2000,Diabetes,Chronic,3.49,0.99,3.69,36-60,Male,993682,71.78,3.05,9.61,Therapy,47558,Yes,86.18,4923,0.87,26173,0.89,69.35
Germany,2000,Diabetes,Chronic,9.93,4.1,3.61,19-35,Male,145166,90.58,0.77,5.42,Surgery,7065,Yes,54.58,4908,4.87,61151,0.51,57.26
Turkey,2016,Diabetes,Bacterial,19.03,9.24,2.17,61+,Male,25459,64.78,2.48,7.44,Vaccination,14773,Yes,86.26,801,2.15,86600,0.43,40.91
Canada,2003,Diabetes,Autoimmune,14.93,8.93,2.66,36-60,Other,982841,56.81,3.11,6.85,Therapy,14602,No,79.5,719,0.61,56582,0.89,41.86
Brazil,2021,Diabetes,Viral,14.58,0.93,6.96,0-18,Other,203611,92.45,1.66,9.52,Surgery,6516,Yes,79.59,560,6.0,42450,0.53,33.94
UK,2010,Diabetes,Neurological,16.71,5.98,3.82,36-60,Other,99017,68.18,1.17,8.55,Medication,35592,No,63.93,1727,0.28,82579,0.81,58.73
Germany,2008,Diabetes,Metabolic,17.23,1.37,7.61,19-35,Male,815996,50.45,2.54,6.52,Vaccination,44838,Yes,94.5,3407,3.38,75287,0.6,23.1
Russia,2010,Diabetes,Bacterial,11.83,9.32,3.54,36-60,Other,419241,84.52,4.66,6.2,Medication,48973,Yes,84.01,1722,1.16,92251,0.85,49.57
Germany,2018,Diabetes,Cardiovascular,13.12,0.67,8.77,0-18,Female,418727,62.78,2.17,4.99,Surgery,15969,No,61.79,1363,8.94,24976,0.7,61.63
Saudi Arabia,2015,Diabetes,Autoimmune,19.83,11.4,8.2,0-18,Other,578938,73.2,2.68,8.71,Therapy,24097,Yes,87.21,3385,6.33,46699,0.72,34.23
Mexico,2019,Diabetes,Viral,2.58,1.23,7.41,36-60,Female,214571,64.7,0.62,6.04,Vaccination,25223,No,77.42,2391,6.89,65755,0.83,54.2
Turkey,2017,Diabetes,Chronic,14.8,11.07,1.85,36-60,Other,151628,87.5,4.23,8.28,Therapy,6473,No,96.89,10,0.63,70643,0.82,75.6
USA,2009,Diabetes,Infectious,18.81,7.53,1.04,19-35,Other,107502,75.53,0.55,6.53,Surgery,29996,No,72.59,1821,9.11,92420,0.67,31.7
Germany,2010,Diabetes,Respiratory,3.36,1.42,5.16,61+,Male,626217,74.74,1.31,3.22,Surgery,30652,Yes,71.4,3333,2.0,93651,0.75,66.26
UK,2010,Diabetes,Genetic,5.54,7.77,0.46,61+,Other,667328,54.11,4.54,4.31,Vaccination,27882,Yes,79.83,3156,9.66,66172,0.45,32.79
Saudi Arabia,2021,Diabetes,Cardiovascular,3.84,14.2,9.52,0-18,Female,326535,99.28,2.89,5.3,Therapy,44264,Yes,53.07,3711,2.23,11189,0.49,68.91
Turkey,2024,Diabetes,Genetic,0.37,8.68,7.71,36-60,Male,763315,56.7,4.33,4.88,Surgery,18600,Yes,53.89,929,8.28,82343,0.83,32.52
France,2007,Diabetes,Genetic,17.35,2.87,3.98,36-60,Female,545151,85.35,4.0,1.57,Therapy,29914,Yes,57.02,344,1.79,56667,0.47,50.63
Germany,2003,Diabetes,Respiratory,2.08,11.76,0.35,36-60,Female,691693,89.78,4.52,7.78,Vaccination,33251,No,84.85,2686,6.15,85158,0.86,39.48
Japan,2012,Diabetes,Neurological,7.04,14.84,2.96,19-35,Other,715261,68.33,0.53,3.01,Vaccination,31656,No,72.14,3780,2.51,85464,0.89,30.28
Indonesia,2015,Diabetes,Chronic,9.93,6.97,7.17,19-35,Male,264170,57.48,4.37,1.65,Medication,45119,Yes,71.35,1036,3.82,82623,0.72,66.99
South Africa,2022,Diabetes,Cardiovascular,3.74,6.09,3.95,36-60,Female,736412,91.47,0.52,2.41,Surgery,48011,No,96.36,4548,3.19,54568,0.61,24.02
Australia,2010,Diabetes,Infectious,9.48,4.21,8.33,19-35,Female,526110,89.24,3.5,9.5,Therapy,8551,Yes,81.28,1344,4.53,50974,0.81,44.46
South Africa,2022,Diabetes,Infectious,6.92,13.02,3.28,19-35,Male,791010,85.64,0.52,7.54,Therapy,26967,No,95.3,746,7.53,73863,0.59,20.74
South Africa,2016,Diabetes,Infectious,17.65,10.25,2.63,19-35,Male,401939,99.02,3.85,2.39,Vaccination,14523,Yes,52.46,4320,8.08,65680,0.55,61.92
Argentina,2002,Diabetes,Metabolic,7.07,7.26,0.96,19-35,Female,241821,64.69,3.42,8.89,Therapy,17768,No,61.03,2134,5.27,89541,0.79,71.45
USA,2016,Diabetes,Chronic,6.27,12.59,9.16,19-35,Female,815710,74.68,1.44,7.44,Surgery,29404,Yes,51.63,3381,4.53,97218,0.49,42.99
Nigeria,2012,Diabetes,Infectious,14.07,13.55,6.8,61+,Male,664546,90.69,4.05,9.08,Surgery,38640,Yes,64.8,820,1.5,38925,0.49,39.95
